geneID	RNAi-GLAD_1	RNAi-GLAD_2	RNAi-GLAD_3	RNAI-GFP_1	RNAI-GFP_2	RNAi-GFP_3
FBgn0037662	0.168468107	0.610971042	0.534893666	0.316383232	0.164646143	0.466333224
FBgn0250815	87.62733141	0.098159591	3.809868234	23.61718578	27.72863863	5.956286792
FBgn0010097	0	0	0.02877294	0.127641383	0.079709641	0
FBgn0011867	0	0	0	0	0	0
FBgn0035687	0.153143695	0	0	0.11504159	0.029933878	0.048447317
FBgn0034262	0.663602899	0.773562993	0.386277552	0.249249349	0.632334327	0.367381204
FBgn0015034	4.638315647	3.516060885	6.097435399	6.808146862	6.561048691	3.436665951
FBgn0035209	0.97315857	0.084030559	0.429141856	0.533047821	0.554797216	0.577238771
FBgn0035453	1.194768937	0.359417837	0.611845815	1.339028191	0.489665436	0.243850042
FBgn0003372	0.585225199	0.662546185	0.550552833	0.427409643	0.497806983	0.548554587
FBgn0033918	29.86586793	31.09916018	26.61532306	25.49280324	23.87760517	34.83080894
FBgn0262057	36.02820611	37.85206027	35.01062252	40.16602901	36.06444614	35.83335022
FBgn0028988	49.27409925	56.29625194	58.98091172	53.07059315	59.16137668	55.44844123
Novel00068	0.800029629	0.75688939	0.147253875	0.522593478	0.305952927	0.49517802
FBgn0263515	0	0	0	0	0	0
FBgn0037620	1.921127531	1.837506893	2.033221538	2.358997779	2.563569339	2.425166515
FBgn0015926	0.273895376	0.37840627	0.251226414	0.342917149	0.428290608	0.231059613
FBgn0051206	1.624168096	0	0	0.046214984	0.673409035	1.05097266
FBgn0032400	605.5907778	857.274644	998.9030976	818.9454234	1136.812564	766.6424081
